EITC_id,dataset,statecode,statistic,statid,year,data,Statename,NDecimals,StateAbbrev
176,EIC,18,EIC_totalreturns_state,301,1999,298718.0,Kentucky,2.0,KY
177,EIC,19,EIC_totalreturns_state,301,1999,480221.0,Louisiana,2.0,LA
178,EIC,20,EIC_totalreturns_state,301,1999,77245.0,Maine,2.0,ME
179,EIC,21,EIC_totalreturns_state,301,1999,315447.0,Maryland,2.0,MD
180,EIC,22,EIC_totalreturns_state,301,1999,272091.0,Massachusetts,2.0,MA
181,EIC,23,EIC_totalreturns_state,301,1999,547783.0,Michigan,2.0,MI
182,EIC,24,EIC_totalreturns_state,301,1999,210724.0,Minnesota,2.0,MN
183,EIC,25,EIC_totalreturns_state,301,1999,343389.0,Mississippi,2.0,MS
184,EIC,26,EIC_totalreturns_state,301,1999,379333.0,Missouri,2.0,MO
185,EIC,27,EIC_totalreturns_state,301,1999,64829.0,Montana,2.0,MT
186,EIC,28,EIC_totalreturns_state,301,1999,91694.0,Nebraska,2.0,NE
187,EIC,29,EIC_totalreturns_state,301,1999,125638.0,Nevada,2.0,NV
188,EIC,30,EIC_totalreturns_state,301,1999,53250.0,New Hampshire ,2.0,NH
189,EIC,31,EIC_totalreturns_state,301,1999,441288.0,New Jersey,2.0,NJ
190,EIC,32,EIC_totalreturns_state,301,1999,178869.0,New Mexico,2.0,NM
191,EIC,33,EIC_totalreturns_state,301,1999,1307617.0,New York,2.0,NY
192,EIC,34,EIC_totalreturns_state,301,1999,639219.0,North Carolina,2.0,NC
193,EIC,35,EIC_totalreturns_state,301,1999,35544.0,North Dakota,2.0,ND
194,EIC,36,EIC_totalreturns_state,301,1999,673191.0,Ohio,2.0,OH
195,EIC,37,EIC_totalreturns_state,301,1999,274500.0,Oklahoma,2.0,OK
196,EIC,38,EIC_totalreturns_state,301,1999,194030.0,Oregon,2.0,OR
197,EIC,39,EIC_totalreturns_state,301,1999,680246.0,Pennsylvania,2.0,PA
198,EIC,40,EIC_totalreturns_state,301,1999,58233.0,Rhode Island,2.0,RI
199,EIC,41,EIC_totalreturns_state,301,1999,372035.0,South Carolina,2.0,SC
200,EIC,42,EIC_totalreturns_state,301,1999,47174.0,South Dakota,2.0,SD
201,EIC,43,EIC_totalreturns_state,301,1999,474954.0,Tennessee,2.0,TN
202,EIC,44,EIC_totalreturns_state,301,1999,1867016.0,Texas,2.0,TX
203,EIC,45,EIC_totalreturns_state,301,1999,107749.0,Utah,2.0,UT
204,EIC,46,EIC_totalreturns_state,301,1999,34207.0,Vermont,2.0,VT
205,EIC,47,EIC_totalreturns_state,301,1999,430833.0,Virginia,2.0,VA
206,EIC,48,EIC_totalreturns_state,301,1999,303384.0,Washington,2.0,WA
207,EIC,49,EIC_totalreturns_state,301,1999,134908.0,West Virginia,2.0,WV
208,EIC,50,EIC_totalreturns_state,301,1999,242492.0,Wisconsin,2.0,WI
209,EIC,51,EIC_totalreturns_state,301,1999,31185.0,Wyoming,2.0,WY
210,EIC,99,EIC_totalreturns_state,301,2000,19166052.0,United States,2.0,US
211,EIC,1,EIC_totalreturns_state,301,2000,442954.0,Alabama,2.0,AL
212,EIC,2,EIC_totalreturns_state,301,2000,30200.0,Alaska,2.0,AK
213,EIC,3,EIC_totalreturns_state,301,2000,335315.0,Arizona,2.0,AZ
214,EIC,4,EIC_totalreturns_state,301,2000,248838.0,Arkansas,2.0,AR
215,EIC,5,EIC_totalreturns_state,301,2000,2265569.0,California,2.0,CA
216,EIC,6,EIC_totalreturns_state,301,2000,222907.0,Colorado,2.0,CO
217,EIC,7,EIC_totalreturns_state,301,2000,143136.0,Connecticut,2.0,CT
218,EIC,8,EIC_totalreturns_state,301,2000,48451.0,Delaware,2.0,DE
219,EIC,9,EIC_totalreturns_state,301,2000,51439.0,D.C.,2.0,DC
220,EIC,10,EIC_totalreturns_state,301,2000,1316856.0,Florida,2.0,FL
221,EIC,11,EIC_totalreturns_state,301,2000,717138.0,Georgia,2.0,GA
222,EIC,12,EIC_totalreturns_state,301,2000,67500.0,Hawaii,2.0,HI
223,EIC,13,EIC_totalreturns_state,301,2000,81278.0,Idaho,2.0,ID
224,EIC,14,EIC_totalreturns_state,301,2000,755305.0,Illinois,2.0,IL
225,EIC,15,EIC_totalreturns_state,301,2000,361359.0,Indiana,2.0,IN
226,EIC,16,EIC_totalreturns_state,301,2000,143624.0,Iowa,2.0,IA
227,EIC,17,EIC_totalreturns_state,301,2000,144236.0,Kansas,2.0,KS
228,EIC,18,EIC_totalreturns_state,301,2000,299343.0,Kentucky,2.0,KY
229,EIC,19,EIC_totalreturns_state,301,2000,481637.0,Louisiana,2.0,LA
230,EIC,20,EIC_totalreturns_state,301,2000,75192.0,Maine,2.0,ME
231,EIC,21,EIC_totalreturns_state,301,2000,310997.0,Maryland,2.0,MD
232,EIC,22,EIC_totalreturns_state,301,2000,263809.0,Massachusetts,2.0,MA
233,EIC,23,EIC_totalreturns_state,301,2000,549864.0,Michigan,2.0,MI
234,EIC,24,EIC_totalreturns_state,301,2000,209999.0,Minnesota,2.0,MN
235,EIC,25,EIC_totalreturns_state,301,2000,345172.0,Mississippi,2.0,MS
236,EIC,26,EIC_totalreturns_state,301,2000,378195.0,Missouri,2.0,MO
237,EIC,27,EIC_totalreturns_state,301,2000,64610.0,Montana,2.0,MT
238,EIC,28,EIC_totalreturns_state,301,2000,90518.0,Nebraska,2.0,NE
239,EIC,29,EIC_totalreturns_state,301,2000,128750.0,Nevada,2.0,NV
240,EIC,30,EIC_totalreturns_state,301,2000,51324.0,New Hampshire ,2.0,NH
241,EIC,31,EIC_totalreturns_state,301,2000,440175.0,New Jersey,2.0,NJ
242,EIC,32,EIC_totalreturns_state,301,2000,174027.0,New Mexico,2.0,NM
243,EIC,33,EIC_totalreturns_state,301,2000,1326071.0,New York,2.0,NY
244,EIC,34,EIC_totalreturns_state,301,2000,642264.0,North Carolina,2.0,NC
245,EIC,35,EIC_totalreturns_state,301,2000,35122.0,North Dakota,2.0,ND
246,EIC,36,EIC_totalreturns_state,301,2000,676466.0,Ohio,2.0,OH
247,EIC,37,EIC_totalreturns_state,301,2000,273434.0,Oklahoma,2.0,OK
248,EIC,38,EIC_totalreturns_state,301,2000,193296.0,Oregon,2.0,OR
249,EIC,39,EIC_totalreturns_state,301,2000,674406.0,Pennsylvania,2.0,PA
250,EIC,40,EIC_totalreturns_state,301,2000,58084.0,Rhode Island,2.0,RI
251,EIC,41,EIC_totalreturns_state,301,2000,376046.0,South Carolina,2.0,SC
252,EIC,42,EIC_totalreturns_state,301,2000,47039.0,South Dakota,2.0,SD
253,EIC,43,EIC_totalreturns_state,301,2000,479050.0,Tennessee,2.0,TN
254,EIC,44,EIC_totalreturns_state,301,2000,1856111.0,Texas,2.0,TX
255,EIC,45,EIC_totalreturns_state,301,2000,107538.0,Utah,2.0,UT
256,EIC,46,EIC_totalreturns_state,301,2000,32581.0,Vermont,2.0,VT
257,EIC,47,EIC_totalreturns_state,301,2000,426677.0,Virginia,2.0,VA
258,EIC,48,EIC_totalreturns_state,301,2000,300031.0,Washington,2.0,WA
259,EIC,49,EIC_totalreturns_state,301,2000,133149.0,West Virginia,2.0,WV
260,EIC,50,EIC_totalreturns_state,301,2000,243219.0,Wisconsin,2.0,WI
261,EIC,51,EIC_totalreturns_state,301,2000,30551.0,Wyoming,2.0,WY
262,EIC,99,EIC_totalreturns_state,301,2001,19656992.0,United States,2.0,US
263,EIC,1,EIC_totalreturns_state,301,2001,447392.0,Alabama,2.0,AL
264,EIC,2,EIC_totalreturns_state,301,2001,31532.0,Alaska,2.0,AK
265,EIC,3,EIC_totalreturns_state,301,2001,345965.0,Arizona,2.0,AZ
266,EIC,4,EIC_totalreturns_state,301,2001,253779.0,Arkansas,2.0,AR
267,EIC,5,EIC_totalreturns_state,301,2001,2289696.0,California,2.0,CA
268,EIC,6,EIC_totalreturns_state,301,2001,227224.0,Colorado,2.0,CO
269,EIC,7,EIC_totalreturns_state,301,2001,147439.0,Connecticut,2.0,CT
270,EIC,8,EIC_totalreturns_state,301,2001,49638.0,Delaware,2.0,DE
271,EIC,9,EIC_totalreturns_state,301,2001,51270.0,D.C.,2.0,DC
272,EIC,10,EIC_totalreturns_state,301,2001,1371025.0,Florida,2.0,FL
273,EIC,11,EIC_totalreturns_state,301,2001,739224.0,Georgia,2.0,GA
274,EIC,12,EIC_totalreturns_state,301,2001,71275.0,Hawaii,2.0,HI
275,EIC,13,EIC_totalreturns_state,301,2001,85316.0,Idaho,2.0,ID
276,EIC,14,EIC_totalreturns_state,301,2001,769690.0,Illinois,2.0,IL
277,EIC,15,EIC_totalreturns_state,301,2001,373810.0,Indiana,2.0,IN
278,EIC,16,EIC_totalreturns_state,301,2001,148182.0,Iowa,2.0,IA
279,EIC,17,EIC_totalreturns_state,301,2001,148105.0,Kansas,2.0,KS
280,EIC,18,EIC_totalreturns_state,301,2001,304572.0,Kentucky,2.0,KY
281,EIC,19,EIC_totalreturns_state,301,2001,488473.0,Louisiana,2.0,LA
282,EIC,20,EIC_totalreturns_state,301,2001,76343.0,Maine,2.0,ME
